,league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,previous_season_position,is_in_europe,lagged_mpm_1,lagged_fmp_1,lagged_xg_perf_1,lagged_npxg_perf_1,lagged_xg_per_shot_1,lagged_penalty_taker_1,lagged_g90_1,lagged_a90_1,lagged_ga90_1,lagged_xg90_1,lagged_xa90_1,lagged_goals_1,lagged_mpm_2,lagged_fmp_2,lagged_xg_perf_2,lagged_npxg_perf_2,lagged_xg_per_shot_2,lagged_penalty_taker_2,lagged_g90_2,lagged_a90_2,lagged_ga90_2,lagged_xg90_2,lagged_xa90_2,lagged_goals_2,main_pos,position_1,position_2,position_3,position_4
84,ENG-Premier League,1920,Brighton,aaron connolly,1,2019,220,7991,F S,24,1279,3.0,4.553528117015958,3,4.553528117015958,1,0.56201739795506,36,6,0,0,4.356781048700213,0.35419949889183044,17.0,0.0,31.547101449275363,5.322222222222222,-1.946717722574249,-1.9903427558019757,0.12559686676284315,0.0,0.14972776769509982,0.0,0.25618413799648265,0.30273811437442255,0.06593100895651857,1.0,31.547101449275363,5.322222222222222,-1.946717722574249,-1.9903427558019757,0.12559686676284315,0.0,0.14972776769509982,0.0,0.25618413799648265,0.30273811437442255,0.06593100895651857,1.0,3,0,0,1,0
568,ENG-Premier League,2021,Brighton,aaron connolly,1,2020,220,7991,F M S,17,799,2.0,4.464138314127922,2,4.464138314127922,1,0.1607838999480009,23,6,0,0,4.7834921311587095,0.19122500717639923,15.0,0.0,53.291666666666664,14.21111111111111,-1.5535281170159578,-1.5535281170159578,0.12648689213933217,0.0,0.21110242376856922,0.07036747458952307,0.2814698983580923,0.32042027406679924,0.03954774496947256,3.0,49.21375,12.6,-1.3762204456143081,-1.3818805101327598,0.0891157174293134,0.0,0.13249098999466558,0.056393386593754,0.2598109959660592,0.16167210905566315,0.10022585590751756,2.0,3,0,0,1,0
1125,ENG-Premier League,2122,Brighton,aaron connolly,1,2021,220,7991,F S,4,152,0.0,0.5994888693094254,0,0.5994888693094254,0,0.3804109990596771,2,1,0,0,1.0079350173473358,0.028034599497914314,16.0,0.0,47.0,8.877777777777778,-2.464138314127922,-2.464138314127922,0.19409297017947488,0.0,0.2252816020025031,0.11264080100125155,0.33792240300375465,0.5028441154837459,0.01811082727824791,2.0,53.291666666666664,14.21111111111111,-1.5535281170159578,-1.5535281170159578,0.12648689213933217,0.0,0.21110242376856922,0.07036747458952307,0.2814698983580923,0.32042027406679924,0.03954774496947256,3.0,3,0,0,1,0
466,ENG-Premier League,1920,West Ham,aaron cresswell,1,2019,81,534,D,31,2739,3.0,1.032538689672947,3,1.032538689672947,0,3.006656118668616,18,26,7,0,6.834942300803959,4.891464427113533,10.0,0.0,86.58035714285714,12.991666666666667,-0.602175930282101,-0.602175930282101,0.04516520102818807,0.0,0.0,0.0,0.0,0.015673902275939955,0.00602434690439219,0.0,86.58035714285714,12.991666666666667,-0.602175930282101,-0.602175930282101,0.04516520102818807,0.0,0.0,0.0,0.0,0.015673902275939955,0.00602434690439219,0.0,1,1,0,0,0
989,ENG-Premier League,2021,West Ham,aaron cresswell,1,2020,81,534,D,36,3176,0.0,0.8834640998393297,0,0.8834640998393297,8,7.390939770266414,19,58,3,0,10.620282838121057,8.392438812181354,16.0,0.0,88.35483870967742,30.433333333333334,1.967461310327053,1.967461310327053,0.05736326053738594,0.0,0.09857612267250822,0.0,0.09857612267250822,0.03392788684577044,0.0987948341293083,3.0,86.58035714285714,12.991666666666667,-0.602175930282101,-0.602175930282101,0.04516520102818807,0.0,0.0,0.0,0.0,0.015673902275939955,0.00602434690439219,0.0,1,1,0,0,0
1525,ENG-Premier League,2122,West Ham,aaron cresswell,1,2021,81,534,D,31,2734,2.0,0.9124326836317778,2,0.9124326836317778,3,3.6705835554748774,18,31,3,0,10.5436932425946,9.624675979837775,6.0,1.0,88.22222222222223,35.28888888888889,-0.8834640998393297,-0.8834640998393297,0.04649811051785946,0.0,0.0,0.22670025188916876,0.22670025188916876,0.025035191746076723,0.20944098845213388,0.0,88.35483870967742,30.433333333333334,1.967461310327053,1.967461310327053,0.05736326053738594,0.0,0.09857612267250822,0.0,0.09857612267250822,0.03392788684577044,0.0987948341293083,3.0,1,1,0,0,0
2077,ENG-Premier League,2223,West Ham,aaron cresswell,1,2022,81,534,D S,28,2231,0.0,0.41903596371412277,0,0.41903596371412277,1,3.1738543678075075,9,40,3,0,6.406579466536641,5.813743421807885,7.0,1.0,88.19354838709677,30.377777777777776,1.0875673163682222,1.0875673163682222,0.05069070464620987,0.0,0.06583760058522312,0.09875640087783467,0.1645940014630578,0.030036189292926115,0.12083120702002158,2.0,88.22222222222223,35.28888888888889,-0.8834640998393297,-0.8834640998393297,0.04649811051785946,0.0,0.0,0.22670025188916876,0.22670025188916876,0.025035191746076723,0.20944098845213388,0.0,1,1,0,0,0
2649,ENG-Premier League,2324,West Ham,aaron cresswell,1,2023,81,534,D S,11,414,0.0,0.0,0,0.0,0,0.4446245804429054,0,5,1,0,0.32303913682699203,0.2730376645922661,14.0,1.0,79.67857142857143,24.788888888888888,-0.41903596371412277,-0.41903596371412277,0.04655955152379142,0.0,0.0,0.04034065441506051,0.04034065441506051,0.016904184999673263,0.12803536221545303,0.0,88.19354838709677,30.377777777777776,1.0875673163682222,1.0875673163682222,0.05069070464620987,0.0,0.06583760058522312,0.09875640087783467,0.1645940014630578,0.030036189292926115,0.12083120702002158,2.0,1,1,0,0,0
3205,ENG-Premier League,2425,West Ham,aaron cresswell,1,2024,81,534,D S,18,821,0.0,0.1508999690413475,0,0.1508999690413475,0,1.589625921100378,5,9,3,0,2.41888221912086,1.7282752357423306,9.0,0.0,37.63636363636363,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09665751748758815,0.0,79.67857142857143,24.788888888888888,-0.41903596371412277,-0.41903596371412277,0.04655955152379142,0.0,0.0,0.04034065441506051,0.04034065441506051,0.016904184999673263,0.12803536221545303,0.0,1,1,0,0,0
1659,ENG-Premier League,2223,Brentford,aaron hickey,1,2022,244,8942,D S,26,1958,0.0,0.3167129307985306,0,0.3167129307985306,1,0.6221226900815964,11,6,7,0,2.5498968306928873,2.0008020736277103,13.0,0.0,60.82608695652174,7.688888888888889,-0.4019469805061817,-0.4019469805061817,0.03817203175276518,0.0,0.0,0.0,0.0,0.013580875344693738,0.00972160545725672,0.0,60.82608695652174,7.688888888888889,-0.4019469805061817,-0.4019469805061817,0.03817203175276518,0.0,0.0,0.0,0.0,0.013580875344693738,0.00972160545725672,0.0,1,1,0,0,0
