,league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup,previous_season_position,is_in_europe,prev_minutes_per_match_1,prev_full_matches_played_1,prev_xg_performance_1,prev_npxg_performance_1,prev_xg_per_shot_1,prev_penalty_taker_1,prev_goals_per_90_1,prev_assists_per_90_1,prev_ga_per_90_1,prev_xg_per_90_1,prev_xa_per_90_1,prev_goals_1,prev_goals_2,main_pos,position_1,position_2,position_3,position_4
86,ENG-Premier League,2122,Brighton,aaron connolly,1,2021,220,7991,F S,4,152,0,0.5994888693094254,0,0.5994888693094254,0,0.3804109990596771,2,1,0,0,1.0079350173473358,0.028034599497914314,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
486,ENG-Premier League,2122,West Ham,aaron cresswell,1,2021,81,534,D,31,2734,2,0.9124326836317778,2,0.9124326836317778,3,3.6705835554748774,18,31,3,0,10.5436932425946,9.624675979837775,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
1038,ENG-Premier League,2223,West Ham,aaron cresswell,1,2022,81,534,D S,28,2231,0,0.41903596371412277,0,0.41903596371412277,1,3.1738543678075075,9,40,3,0,6.406579466536641,5.813743421807885,7.0,1.0,88.19354838709677,30.377777777777776,1.0875673163682222,1.0875673163682222,0.05069070464620987,0.0,0.06583760058522312,0.09875640087783467,0.1645940014630578,0.030036189292926115,0.12083120702002158,2,0,1,1,0,0,0
1610,ENG-Premier League,2324,West Ham,aaron cresswell,1,2023,81,534,D S,11,414,0,0.0,0,0.0,0,0.4446245804429054,0,5,1,0,0.32303913682699203,0.2730376645922661,14.0,1.0,79.67857142857143,24.788888888888888,-0.41903596371412277,-0.41903596371412277,0.04655955152379142,0.0,0.0,0.04034065441506051,0.04034065441506051,0.016904184999673263,0.12803536221545303,0,2,1,1,0,0,0
2166,ENG-Premier League,2425,West Ham,aaron cresswell,1,2024,81,534,D S,18,821,0,0.1508999690413475,0,0.1508999690413475,0,1.589625921100378,5,9,3,0,2.41888221912086,1.7282752357423306,9.0,0.0,37.63636363636363,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09665751748758815,0,0,1,1,0,0,0
620,ENG-Premier League,2223,Brentford,aaron hickey,1,2022,244,8942,D S,26,1958,0,0.3167129307985306,0,0.3167129307985306,1,0.6221226900815964,11,6,7,0,2.5498968306928873,2.0008020736277103,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0,0
1177,ENG-Premier League,2324,Brentford,aaron hickey,1,2023,244,8942,D,9,749,0,0.19348732568323612,0,0.19348732568323612,0,0.04746435210108757,7,1,5,0,1.1258890461176634,0.9994768127799034,9.0,0.0,75.3076923076923,21.755555555555556,-0.3167129307985306,-0.3167129307985306,0.028792084618048233,0.0,0.0,0.045965270684371805,0.045965270684371805,0.014557795593395173,0.02859603784849013,0,0,1,1,0,0,0
2292,ENG-Premier League,2526,Brentford,aaron hickey,1,2025,244,8942,D S,6,254,0,0.1281345784664154,0,0.1281345784664154,0,0.6038424372673035,3,1,1,0,0.6008479967713356,0.5277394652366638,4.0,0.0,83.22222222222223,8.322222222222223,-0.19348732568323612,-0.19348732568323612,0.027641046526176587,0.0,0.0,0.0,0.0,0.02324947838650367,0.005703326687714127,0,0,1,1,0,0,0
112,ENG-Premier League,2122,Burnley,aaron lennon,1,2021,92,593,F M S,28,1538,2,1.0376689522527158,2,1.0376689522527158,0,0.4255148032680154,12,9,2,0,3.1641288422979414,1.9789244886487722,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,0,1,0
0,ENG-Premier League,2122,Arsenal,aaron ramsdale,1,2021,83,5603,GK,34,3060,0,0.0,0,0.0,0,0.0,0,0,1,0,3.995810028165579,3.995810028165579,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
