,team,previous_season_position,is_in_europe,season
0,Man City,1,1,1920
1,Liverpool,2,1,1920
2,Chelsea,3,1,1920
3,Tottenham,4,1,1920
4,Arsenal,5,1,1920
5,Man United,6,1,1920
6,Wolves,7,1,1920
7,Everton,8,0,1920
8,Leicester,9,0,1920
9,West Ham,10,0,1920
10,Watford,11,0,1920
11,Crystal Palace,12,0,1920
12,Newcastle,13,0,1920
13,Bournemouth,14,0,1920
14,Burnley,15,0,1920
15,Southampton,16,0,1920
16,Brighton,17,0,1920
17,Cardiff,18,0,1920
18,Fulham,19,0,1920
19,Huddersfield,20,0,1920
20,Liverpool,1,1,2021
21,Man City,2,1,2021
22,Man United,3,1,2021
23,Chelsea,4,1,2021
24,Leicester,5,1,2021
25,Tottenham,6,1,2021
26,Wolves,7,0,2021
27,Arsenal,8,1,2021
28,Sheffield United,9,0,2021
29,Burnley,10,0,2021
30,Southampton,11,0,2021
31,Everton,12,0,2021
32,Newcastle,13,0,2021
33,Crystal Palace,14,0,2021
34,Brighton,15,0,2021
35,West Ham,16,0,2021
36,Aston Villa,17,0,2021
37,Bournemouth,18,0,2021
38,Watford,19,0,2021
39,Norwich,20,0,2021
40,Man City,1,1,2122
41,Man United,2,1,2122
42,Liverpool,3,1,2122
43,Chelsea,4,1,2122
44,Leicester,5,1,2122
45,West Ham,6,1,2122
46,Tottenham,7,1,2122
47,Arsenal,8,0,2122
48,Leeds,9,0,2122
49,Everton,10,0,2122
50,Aston Villa,11,0,2122
51,Newcastle,12,0,2122
52,Wolves,13,0,2122
53,Crystal Palace,14,0,2122
54,Southampton,15,0,2122
55,Brighton,16,0,2122
56,Burnley,17,0,2122
57,Fulham,18,0,2122
58,West Brom,19,0,2122
59,Sheffield United,20,0,2122
60,Man City,1,1,2223
61,Liverpool,2,1,2223
62,Chelsea,3,1,2223
63,Tottenham,4,1,2223
64,Arsenal,5,1,2223
65,Man United,6,1,2223
66,West Ham,7,1,2223
67,Leicester,8,0,2223
68,Brighton,9,0,2223
69,Wolves,10,0,2223
70,Newcastle,11,0,2223
71,Crystal Palace,12,0,2223
72,Brentford,13,0,2223
73,Aston Villa,14,0,2223
74,Southampton,15,0,2223
75,Everton,16,0,2223
76,Leeds,17,0,2223
77,Burnley,18,0,2223
78,Watford,19,0,2223
79,Norwich,20,0,2223
80,Man City,1,1,2324
81,Arsenal,2,1,2324
82,Man United,3,1,2324
83,Newcastle,4,1,2324
84,Liverpool,5,1,2324
85,Brighton,6,1,2324
86,Aston Villa,7,1,2324
87,Tottenham,8,0,2324
88,Brentford,9,0,2324
89,Fulham,10,0,2324
90,Crystal Palace,11,0,2324
91,Chelsea,12,0,2324
92,Wolves,13,0,2324
93,West Ham,14,1,2324
94,Bournemouth,15,0,2324
95,Nott'm Forest,16,0,2324
96,Everton,17,0,2324
97,Leicester,18,0,2324
98,Leeds,19,0,2324
99,Southampton,20,0,2324
100,Man City,1,1,2425
101,Arsenal,2,1,2425
102,Liverpool,3,1,2425
103,Aston Villa,4,1,2425
104,Tottenham,5,1,2425
105,Chelsea,6,1,2425
106,Newcastle,7,0,2425
107,Man United,8,0,2425
108,West Ham,9,0,2425
109,Crystal Palace,10,0,2425
110,Brighton,11,0,2425
111,Everton,12,0,2425
112,Bournemouth,13,0,2425
113,Fulham,14,0,2425
114,Wolves,15,0,2425
115,Brentford,16,0,2425
116,Nott'm Forest,17,0,2425
117,Luton,18,0,2425
118,Burnley,19,0,2425
119,Sheffield United,20,0,2425
120,Liverpool,1,1,2526
121,Arsenal,2,1,2526
122,Man City,3,1,2526
123,Chelsea,4,1,2526
124,Newcastle,5,1,2526
125,Aston Villa,6,1,2526
126,Nott'm Forest,7,1,2526
127,Brighton,8,0,2526
128,Bournemouth,9,0,2526
129,Brentford,10,0,2526
130,Fulham,11,0,2526
131,Crystal Palace,12,0,2526
132,Everton,13,0,2526
133,West Ham,14,0,2526
134,Man United,15,0,2526
135,Wolves,16,0,2526
136,Tottenham,17,0,2526
137,Leicester,18,0,2526
138,Ipswich,19,0,2526
139,Southampton,20,0,2526
