Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;FK;PK;PKatt;xG;npxG;npxG/Sh;G-xG;np:G-xG;SCA;SCA90;PassLive;PassDead;TO;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;TO;Sh;Fld;Def
1;Max Aarons;eng ENG;DF;Bournemouth;24;2000;1;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;2;2.09;2;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Joshua Acheampong;eng ENG;DF;Chelsea;18;2006;1.9;0;2;0;0;1.06;0;0;;8.9;0;0;0;0.2;0.2;0.11;-0.2;-0.2;2;1.06;2;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Tyler Adams;us USA;MF;Bournemouth;25;1999;21.8;0;9;2;22.2;0.41;0.09;0;0;16.9;0;0;0;1.6;1.6;0.18;-1.6;-1.6;41;1.88;35;0;0;1;1;4;4;0.18;3;0;0;0;0;1
4;Tosin Adarabioyo;eng ENG;DF;Chelsea;26;1997;15.7;1;13;2;15.4;0.83;0.13;0.08;0.5;12.5;0;0;0;0.9;0.9;0.07;0.1;0.1;15;0.96;8;0;0;6;0;1;1;0.06;0;0;0;1;0;0
5;Simon Adingra;ci CIV;FW,MF;Brighton;22;2002;12.2;2;33;8;24.2;2.71;0.66;0.06;0.25;17;0;0;0;2.5;2.5;0.07;-0.5;-0.5;47;3.86;33;0;6;8;0;0;7;0.57;5;0;1;1;0;0
6;Emmanuel Agbadou;ci CIV;DF;Wolves;27;1997;15.7;1;7;2;28.6;0.45;0.13;0.14;0.5;27.6;1;0;0;0.8;0.8;0.12;0.2;0.2;17;1.09;15;2;0;0;0;0;3;0.19;2;1;0;0;0;0
7;Asher Agbinone;eng ENG;MF;Crystal Palace;18;2005;0.1;0;1;0;0;15;0;0;;26.3;0;0;0;0;0;0.02;0;0;1;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Ola Aina;ng NGA;DF;Nott'ham Forest;27;1996;33.3;2;11;2;18.2;0.33;0.06;0.18;1;26.1;0;0;0;0.6;0.6;0.06;1.4;1.4;62;1.86;49;5;3;1;3;1;4;0.12;3;0;0;0;0;1
9;Rayan A?t-Nouri;dz ALG;DF;Wolves;23;2001;34.5;4;36;10;27.8;1.04;0.29;0.11;0.4;14.9;0;0;0;2.7;2.7;0.08;1.3;1.3;91;2.63;56;15;8;7;4;1;12;0.35;10;1;0;0;0;1
10;Kristoffer Ajer;no NOR;DF;Brentford;26;1998;16;0;9;3;33.3;0.56;0.19;0;0;9.5;0;0;0;1;1;0.11;-1;-1;18;1.13;15;0;1;2;0;0;2;0.13;2;0;0;0;0;0
11;Manuel Akanji;ch SUI;DF;Manchester City;29;1995;22.4;0;15;2;13.3;0.67;0.09;0;0;14.7;0;0;0;1.6;1.6;0.1;-1.6;-1.6;37;1.65;37;0;0;0;0;0;3;0.13;3;0;0;0;0;0
12;Nathan Aké;nl NED;DF;Manchester City;29;1995;7.5;0;3;0;0;0.4;0;0;;10;0;0;0;0.2;0.2;0.07;-0.2;-0.2;8;1.06;8;0;0;0;0;0;0;0;0;0;0;0;0;0
13;Carlos Alcaraz;ar ARG;MF;Southampton;21;2002;0.1;0;1;1;100;9;9;0;0;9.7;0;0;0;0.1;0.1;0.07;-0.1;-0.1;1;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Carlos Alcaraz;ar ARG;FW,MF;Everton;21;2002;8.5;2;26;11;42.3;3.06;1.3;0.08;0.18;20.3;1;0;0;1.7;1.7;0.07;0.3;0.3;33;3.89;24;2;3;3;1;0;6;0.71;5;0;0;1;0;0
15;Trent Alexander-Arnold;eng ENG;DF;Liverpool;25;1998;26.3;3;45;8;17.8;1.71;0.3;0.07;0.38;23.6;3;0;0;1.9;1.9;0.04;1.1;1.1;98;3.73;74;15;5;4;0;0;10;0.38;9;1;0;0;0;0
16;Alisson;br BRA;GK;Liverpool;31;1992;27.9;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;7;0.25;7;0;0;0;0;0;1;0.04;1;0;0;0;0;0
17;Miguel Almirón;py PAR;FW;Newcastle Utd;30;1994;1.7;0;6;2;33.3;3.44;1.15;0;0;14.2;0;0;0;0.5;0.5;0.09;-0.5;-0.5;8;4.59;6;0;1;1;0;0;0;0;0;0;0;0;0;0
18;Olabade Aluko;;DF;Leicester City;;;0;0;0;0;;0;0;;;;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
